Date,Product Name,Category,Units Sold,Price,Revenue,Discount,Units Returned,Location,Platform,Month
2021-01-04,Whey Protein,Protein,139,22.37,2953.69,0.05,1,UK,Amazon,1
2021-01-04,Vitamin C,Vitamin,78,34.88,2720.43,0.0,1,UK,Amazon,1
2021-01-04,Fish Oil,Omega,70,31.75,2222.57,0.0,1,Canada,Amazon,1
2021-01-04,Multivitamin,Vitamin,180,15.22,1917.54,0.3,5,UK,Walmart,1
2021-01-04,Pre-Workout,Performance,148,38.22,3960.0,0.3,4,USA,iHerb,1
2021-01-04,BCAA,Amino Acid,132,14.06,1577.61,0.15,4,Canada,Amazon,1
2021-01-04,Creatine,Performance,65,48.47,3150.63,0.0,2,UK,iHerb,1
2021-01-04,Zinc,Mineral,113,15.74,1779.0,0.0,5,Canada,Walmart,1
2021-01-04,Magnesium,Mineral,94,16.08,1511.43,0.0,4,UK,iHerb,1
2021-01-04,Probiotic,Digestive,144,22.57,2437.73,0.25,1,Canada,Amazon,1
2021-01-04,Ashwagandha,Herbal,100,43.19,3455.43,0.2,4,UK,Amazon,1
2021-01-04,Melatonin,Sleep Aid,98,24.53,2403.94,0.0,2,USA,Walmart,1
2021-01-04,Biotin,Vitamin,68,36.61,2489.56,0.0,3,USA,iHerb,1
2021-01-04,Green Tea Extract,Fat Burner,64,38.7,2476.87,0.0,2,UK,Amazon,1
2021-01-04,Iron Supplement,Mineral,91,30.68,2652.09,0.05,2,Canada,Walmart,1
2021-01-04,Electrolyte Powder,Hydration,85,26.68,2267.89,0.0,1,Canada,Amazon,1
2021-01-11,Whey Protein,Protein,171,22.47,2882.23,0.25,2,UK,iHerb,1
2021-01-11,Vitamin C,Vitamin,83,32.47,2695.25,0.0,2,Canada,Walmart,1
2021-01-11,Fish Oil,Omega,91,25.92,2240.9,0.05,3,USA,Amazon,1
2021-01-11,Multivitamin,Vitamin,103,21.49,2103.07,0.05,1,Canada,iHerb,1
2021-01-11,Pre-Workout,Performance,151,37.85,4001.17,0.3,3,Canada,Walmart,1
2021-01-11,BCAA,Amino Acid,112,29.23,2782.33,0.15,4,Canada,Walmart,1
2021-01-11,Creatine,Performance,101,51.03,4123.41,0.2,1,USA,Walmart,1
2021-01-11,Zinc,Mineral,110,30.68,3037.6,0.1,1,UK,Walmart,1
2021-01-11,Magnesium,Mineral,89,29.64,2638.01,0.0,2,USA,Amazon,1
2021-01-11,Probiotic,Digestive,168,19.26,2265.44,0.3,2,UK,iHerb,1
2021-01-11,Ashwagandha,Herbal,85,26.06,2215.28,0.0,1,USA,Amazon,1
2021-01-11,Melatonin,Sleep Aid,97,23.98,2326.51,0.0,2,USA,Amazon,1
2021-01-11,Biotin,Vitamin,74,40.94,3029.23,0.0,3,UK,Walmart,1
2021-01-11,Green Tea Extract,Fat Burner,91,26.06,2252.81,0.05,2,Canada,iHerb,1
2021-01-11,Iron Supplement,Mineral,94,21.15,1987.88,0.0,2,USA,Amazon,1
2021-01-11,Electrolyte Powder,Hydration,74,36.28,2684.81,0.0,1,UK,iHerb,1
2021-01-18,Whey Protein,Protein,104,50.81,4491.84,0.15,4,Canada,Walmart,1
2021-01-18,Vitamin C,Vitamin,124,32.38,3211.98,0.2,2,Canada,Amazon,1
2021-01-18,Fish Oil,Omega,105,16.5,1732.81,0.0,4,UK,Amazon,1
2021-01-18,Multivitamin,Vitamin,118,48.44,4000.95,0.3,5,USA,Amazon,1
2021-01-18,Pre-Workout,Performance,112,27.59,3089.56,0.0,3,UK,Amazon,1
2021-01-18,BCAA,Amino Acid,101,37.59,3227.39,0.15,5,UK,Walmart,1
2021-01-18,Creatine,Performance,129,33.86,3712.43,0.15,4,Canada,iHerb,1
2021-01-18,Zinc,Mineral,121,22.27,2290.98,0.15,1,UK,Amazon,1
2021-01-18,Magnesium,Mineral,121,35.86,3254.7,0.25,1,UK,Amazon,1
2021-01-18,Probiotic,Digestive,94,27.95,2626.96,0.0,4,Canada,Walmart,1
2021-01-18,Ashwagandha,Herbal,39,45.82,1787.1,0.0,1,Canada,Walmart,1
2021-01-18,Melatonin,Sleep Aid,117,18.08,1903.65,0.1,4,USA,iHerb,1
2021-01-18,Biotin,Vitamin,77,35.17,2707.82,0.0,2,USA,Walmart,1
2021-01-18,Green Tea Extract,Fat Burner,118,14.34,1692.55,0.0,1,UK,Walmart,1
2021-01-18,Iron Supplement,Mineral,144,18.83,2304.51,0.15,3,Canada,Walmart,1
2021-01-18,Electrolyte Powder,Hydration,109,14.3,1559.02,0.0,2,USA,iHerb,1
2021-01-25,Whey Protein,Protein,143,17.31,2351.99,0.05,1,USA,iHerb,1
2021-01-25,Vitamin C,Vitamin,84,31.35,2633.14,0.0,4,USA,iHerb,1
2021-01-25,Fish Oil,Omega,130,15.54,1818.1,0.1,4,Canada,iHerb,1
2021-01-25,Multivitamin,Vitamin,129,17.22,1999.5,0.1,3,UK,Walmart,1
2021-01-25,Pre-Workout,Performance,136,44.28,4517.04,0.25,4,USA,Amazon,1
2021-01-25,BCAA,Amino Acid,97,17.99,1744.99,0.0,2,UK,Amazon,1
2021-01-25,Creatine,Performance,132,14.64,1931.92,0.0,4,Canada,Walmart,1
2021-01-25,Zinc,Mineral,60,47.34,2840.23,0.0,1,USA,iHerb,1
2021-01-25,Magnesium,Mineral,89,46.09,3281.77,0.2,2,USA,iHerb,1
2021-01-25,Probiotic,Digestive,95,25.64,2435.77,0.0,2,Canada,Amazon,1
2021-01-25,Ashwagandha,Herbal,72,29.29,2108.85,0.0,0,USA,Walmart,1
2021-01-25,Melatonin,Sleep Aid,87,45.43,3359.85,0.15,2,USA,Amazon,1
2021-01-25,Biotin,Vitamin,122,18.32,2011.4,0.1,2,Canada,iHerb,1
2021-01-25,Green Tea Extract,Fat Burner,119,45.97,3829.53,0.3,4,USA,iHerb,1
2021-01-25,Iron Supplement,Mineral,97,19.03,1845.84,0.0,4,Canada,Amazon,1
2021-01-25,Electrolyte Powder,Hydration,146,14.95,1637.14,0.25,6,Canada,Walmart,1
2021-02-01,Whey Protein,Protein,131,39.93,4184.81,0.2,4,USA,Amazon,2
2021-02-01,Vitamin C,Vitamin,57,46.68,2661.01,0.0,1,UK,Walmart,2
2021-02-01,Fish Oil,Omega,66,45.48,3001.55,0.0,1,Canada,Amazon,2
2021-02-01,Multivitamin,Vitamin,65,45.85,2980.2,0.0,2,USA,Amazon,2
2021-02-01,Pre-Workout,Performance,171,19.41,2323.85,0.3,6,USA,Walmart,2
2021-02-01,BCAA,Amino Acid,140,16.37,1947.88,0.15,2,UK,iHerb,2
2021-02-01,Creatine,Performance,107,21.43,2293.26,0.0,3,Canada,Walmart,2
2021-02-01,Zinc,Mineral,76,28.25,2146.79,0.0,1,UK,Amazon,2
2021-02-01,Magnesium,Mineral,97,51.29,3482.45,0.3,1,UK,Amazon,2
2021-02-01,Probiotic,Digestive,108,33.69,2910.48,0.2,3,Canada,Walmart,2
2021-02-01,Ashwagandha,Herbal,139,26.95,2809.98,0.25,4,UK,Amazon,2
2021-02-01,Melatonin,Sleep Aid,120,16.73,1806.42,0.1,4,USA,Walmart,2
2021-02-01,Biotin,Vitamin,83,37.33,3098.27,0.0,1,UK,Amazon,2
2021-02-01,Green Tea Extract,Fat Burner,139,22.06,2299.37,0.25,5,USA,Walmart,2
2021-02-01,Iron Supplement,Mineral,151,19.46,2350.67,0.2,4,Canada,iHerb,2
2021-02-01,Electrolyte Powder,Hydration,81,47.75,3674.56,0.05,3,USA,Walmart,2
2021-02-08,Whey Protein,Protein,151,43.64,4613.12,0.3,5,Canada,Walmart,2
2021-02-08,Vitamin C,Vitamin,98,34.92,3080.03,0.1,2,Canada,Walmart,2
2021-02-08,Fish Oil,Omega,87,33.37,2757.72,0.05,4,UK,Walmart,2
2021-02-08,Multivitamin,Vitamin,103,23.9,2461.43,0.0,1,USA,Walmart,2
2021-02-08,Pre-Workout,Performance,139,27.19,3213.02,0.15,3,UK,iHerb,2
2021-02-08,BCAA,Amino Acid,68,37.47,2548.04,0.0,1,UK,iHerb,2
2021-02-08,Creatine,Performance,134,19.48,2610.19,0.0,6,Canada,Amazon,2
2021-02-08,Zinc,Mineral,98,25.3,2355.71,0.05,3,USA,Walmart,2
2021-02-08,Magnesium,Mineral,103,47.01,3631.2,0.25,4,Canada,iHerb,2
2021-02-08,Probiotic,Digestive,116,33.71,3128.31,0.2,3,USA,iHerb,2
2021-02-08,Ashwagandha,Herbal,136,18.92,2058.02,0.2,1,Canada,Amazon,2
2021-02-08,Melatonin,Sleep Aid,127,25.65,2606.31,0.2,2,Canada,Walmart,2
2021-02-08,Biotin,Vitamin,61,44.58,2719.1,0.0,1,UK,Amazon,2
2021-02-08,Green Tea Extract,Fat Burner,85,40.87,3126.79,0.1,2,USA,Walmart,2
2021-02-08,Iron Supplement,Mineral,111,29.68,2800.3,0.15,2,USA,iHerb,2
2021-02-08,Electrolyte Powder,Hydration,92,25.33,2213.67,0.05,4,UK,Amazon,2
2021-02-15,Whey Protein,Protein,152,43.55,4634.06,0.3,1,Canada,Walmart,2
